Fri Sep 22 17:58:09 2023    cProfile.prof

         154432090 function calls (151731458 primitive calls) in 116.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24000    0.046    0.000    0.061    0.000 {method 'copy' of 'numpy.ndarray' objects}
    16000    0.036    0.000    0.061    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:135(_commonType)
    32000    0.024    0.000    0.059    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\mpmath\libmp\libmpf.py:631(mpf_le)
    93745    0.057    0.000    0.057    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\operations.py:78(<listcomp>)
   256320    0.056    0.000    0.056    0.000 {method 'lstrip' of 'str' objects}
   152000    0.055    0.000    0.055    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\logic.py:92(fuzzy_bool)
   110571    0.055    0.000    0.055    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\add.py:873(_eval_subs)
   310879    0.054    0.000    0.054    0.000 {method 'append' of 'list' objects}
    61522    0.053    0.000    0.053    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\basic.py:1806(<genexpr>)
     4001    0.005    0.000    0.052    0.000 <__array_function__ internals>:2(amax)
    24002    0.047    0.000    0.051    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
     4000    0.006    0.000    0.051    0.000 D:\tarun\EDP\RobotProject\SDA-Intro-Problem\Entities.py:149(CostPerTimestep)
    20000    0.022    0.000    0.049    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\linalg\linalg.py:107(_makearray)
    61522    0.048    0.000    0.048    0.000 {method 'mro' of 'type' objects}
   256320    0.048    0.000    0.048    0.000 {method 'is_finite' of 'decimal.Decimal' objects}
    44040    0.045    0.000    0.045    0.000 {built-in method numpy.zeros}
     4021    0.004    0.000    0.045    0.000 <__array_function__ internals>:2(sum)
   220023    0.045    0.000    0.045    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\sympy\core\expr.py:134(_hashable_content)
    93685    0.043    0.000    0.043    0.000 {method 'sort' of 'list' objects}
     4001    0.007    0.000    0.042    0.000 C:\Users\tarun\Documents\Anaconda\lib\site-packages\numpy\core\fromnumeric.py:2589(amax)
